Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Mauritania,Africa,17058,366.87,281,6.04,17,433,9.31,8,0.17,1,Community transmission
Eswatini,Africa,16709,1440.23,313,26.98,36,640,55.16,21,1.81,3,Community transmission
French Guiana,Americas,16456,5509.54,160,53.57,0,80,26.78,1,0.33,0,Community transmission
Guinea,Africa,15154,115.39,326,2.48,66,85,0.65,1,0.01,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,15045,85.97,321,1.83,44,990,5.66,22,0.13,3,Community transmission
Cabo Verde,Africa,14885,2677.22,284,51.08,37,142,25.54,4,0.72,1,Community transmission
Mayotte,Africa,14492,5312.02,2052,752.16,11,89,32.62,17,6.23,4,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Gabon,Africa,13107,588.88,936,42.05,0,75,3.37,4,0.18,0,Community transmission
Haiti,Americas,12206,107.05,190,1.67,0,247,2.17,1,0.01,0,Community transmission
Belize,Americas,12195,3066.94,88,22.13,7,314,78.97,1,0.25,1,Community transmission
Burkina Faso,Africa,11703,55.99,277,1.33,31,139,0.66,5,0.02,1,Community transmission
Réunion,Africa,11562,1291.39,655,73.16,0,48,5.36,1,0.11,0,Community transmission
Andorra,Europe,10610,13731.96,219,283.44,27,107,138.48,1,1.29,0,Community transmission
Lesotho,Africa,10455,488.04,637,29.74,80,285,13.3,73,3.41,6,Community transmission
Guadeloupe,Americas,9455,2363.02,153,38.24,0,160,39.99,1,0.25,0,Community transmission
Suriname,Americas,8832,1505.54,93,15.85,12,168,28.64,4,0.68,1,Community transmission
Congo,Africa,8419,152.57,0,0,0,123,2.23,0,0,0,Community transmission
Bahamas,Americas,8403,2136.84,71,18.05,10,179,45.52,1,0.25,0,Clusters of cases
Guyana,Americas,8313,1056.89,221,28.1,51,189,24.03,7,0.89,1,Clusters of cases
Mali,Africa,8256,40.77,38,0.19,0,342,1.69,2,0.01,0,Community transmission
Trinidad and Tobago,Americas,7663,547.56,32,2.29,7,138,9.86,2,0.14,0,Community transmission
Aruba,Americas,7513,7036.88,194,181.71,52,69,64.63,1,0.94,0,Community transmission
Guam,Western Pacific,7497,4442.01,19,11.26,2,130,77.03,0,0,0,Clusters of cases
Martinique,Americas,6593,1756.89,72,19.19,0,45,11.99,0,0,0,Community transmission
Togo,Africa,6085,73.5,398,4.81,203,81,0.98,1,0.01,0,Community transmission
South Sudan,Africa,6084,54.35,1124,10.04,162,83,0.74,12,0.11,4,Community transmission
Iceland,Europe,6044,1771.17,18,5.27,0,29,8.5,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,6008,608.1,42,4.25,2,63,6.38,0,0,0,Sporadic cases
Equatorial Guinea,Africa,5747,409.63,84,5.99,17,88,6.27,1,0.07,0,Community transmission
Somalia,Eastern Mediterranean,5632,35.44,619,3.89,132,179,1.13,35,0.22,7,Community transmission
Benin,Africa,5143,42.42,583,4.81,0,65,0.54,9,0.07,0,Community transmission
Nicaragua,Americas,5106,77.08,42,0.63,0,172,2.6,1,0.02,0,Community transmission
Central African Republic,Africa,4996,103.44,0,0,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4718,19.49,53,0.22,3,170,0.7,3,0.01,0,Community transmission
Curaçao,Americas,4658,2838.63,30,18.28,3,22,13.41,0,0,0,Community transmission
Gambia,Africa,4510,186.62,208,8.61,41,139,5.75,4,0.17,1,Community transmission
Gibraltar,Europe,4226,12543.41,29,86.08,2,87,258.23,4,11.87,0,Clusters of cases
Sierra Leone,Africa,3829,48,16,0.2,4,79,0.99,0,0,0,Community transmission
Chad,Africa,3751,22.84,170,1.03,27,132,0.8,6,0.04,0,Community transmission
Comoros,Africa,3458,397.65,182,20.93,45,138,15.87,16,1.84,3,Community transmission
San Marino,Europe,3420,10077.2,173,509.75,26,72,212.15,0,0,0,Community transmission
Jersey,Europe,3207,2947.61,17,15.63,2,68,62.5,1,0.92,0,Community transmission
Guinea-Bissau,Africa,3025,153.71,177,8.99,26,46,2.34,0,0,0,Community transmission
Eritrea,Africa,2675,75.43,246,6.94,109,7,0.2,0,0,0,Community transmission
Saint Lucia,Americas,2620,1426.81,483,263.03,44,25,13.61,3,1.63,1,Community transmission
Liechtenstein,Europe,2617,6862.1,5,13.11,0,51,133.73,0,0,0,Sporadic cases
Barbados,Americas,2608,907.53,751,261.33,151,29,10.09,9,3.13,1,Community transmission
United States Virgin Islands,Americas,2558,2449.6,53,50.75,13,25,23.94,0,0,0,Community transmission
Mongolia,Western Pacific,2493,76.05,286,8.72,49,2,0.06,0,0,0,Clusters of cases
Viet Nam,Western Pacific,2347,2.41,207,0.21,18,35,0.04,0,0,0,Clusters of cases
Seychelles,Africa,2264,2302.05,569,578.56,53,10,10.17,3,3.05,0,Community transmission
Yemen,Eastern Mediterranean,2158,7.24,20,0.07,3,619,2.08,2,0.01,0,Community transmission
Sint Maarten,Americas,2013,4694.28,41,95.61,0,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,1992,41.31,22,0.46,4,26,0.54,1,0.02,0,Clusters of cases
Liberia,Africa,1985,39.25,16,0.32,0,85,1.68,1,0.02,0,Community transmission
Burundi,Africa,1955,16.44,158,1.33,27,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,1928,4979.6,144,371.92,19,13,33.58,3,7.75,0,Clusters of cases
Monaco,Europe,1835,4675.87,100,254.82,19,22,56.06,2,5.1,0,Sporadic cases
Sao Tome and Principe,Africa,1548,706.34,117,53.39,13,20,9.13,1,0.46,0,Community transmission
Saint Vincent and the Grenadines,Americas,1474,1328.65,104,93.74,12,6,5.41,0,0,0,Community transmission
Saint Martin,Americas,1456,3766.26,79,204.35,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,961,10.74,39,0.44,0,10,0.11,0,0,0,Community transmission
Bhutan,South-East Asia,866,112.23,5,0.65,0,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,806,1275.4,46,72.79,2,14,22.15,1,1.58,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,697,1119.27,3,4.82,2,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,603,47.41,8,0.63,0,10,0.79,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,525,536.1,144,147.05,39,10,10.21,1,1.02,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cambodia,Western Pacific,484,2.89,5,0.03,1,0,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,475,4805.26,50,505.82,0,0,0,0,0,0,Clusters of cases
Isle of Man,Europe,437,513.92,1,1.18,0,25,29.4,0,0,0,No cases
Cayman Islands,Americas,419,637.55,11,16.74,0,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,381,1821.66,12,57.38,1,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,185,42.29,1,0.23,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,2,6.61,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,135,234.55,1,1.74,0,2,3.47,0,0,0,Pending
Dominica,Americas,134,186.13,13,18.06,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,103,7.81,3,0.23,1,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,56,6.25,0,0,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,55,19.26,5,1.75,3,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,1406.83,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,1,1.88,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,1,20,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,1,0.5,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
